"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.48409127785749,0.632,0.017,0,"11","CFH"
0,3.2986560308591,0.431,0.007,0,"11","SLC4A11"
0,3.18107985595382,0.438,0.05,0,"11","CCN2"
0,2.64866465011068,0.604,0.084,0,"11","ENSG00000285417"
0,2.63390172636396,0.523,0.046,0,"11","ALDH1A2"
0,2.62064752765202,0.754,0.207,0,"11","TPM1"
0,2.30883534404554,0.311,0.017,0,"11","CLDN1"
0,2.23297478301263,0.337,0.03,0,"11","ANXA1"
0,2.14991771071412,0.353,0.015,0,"11","KCNT2"
0,2.1384382778415,0.448,0.06,0,"11","ITGB3"
0,1.63087956854156,0.291,0.007,0,"11","LINC01435"
7.42358063112781e-305,1.4762281526104,0.264,0.023,2.91880343254683e-300,"11","NPR1"
2.03768876581373e-292,1.53433628530362,0.331,0.04,8.01178468942641e-288,"11","ADGRG6"
4.62328117874459e-247,2.95189312666663,0.35,0.054,1.8177816938588e-242,"11","VCAM1"
1.11920763904927e-233,1.52644800276039,0.251,0.028,4.40050059521392e-229,"11","TNNT2"
3.58414445923134e-217,1.5510234735332,0.396,0.077,1.40921391848058e-212,"11","DNM1"
2.43523757704569e-213,1.43549275285161,0.313,0.049,9.57486710542825e-209,"11","ENSG00000243081"
3.48409670132102e-212,1.56408856217316,0.332,0.055,1.3698771410254e-207,"11","SIPA1L2"
3.53929644632099e-210,2.51021998937372,0.438,0.098,1.39158057676449e-205,"11","CRYAB"
2.46021004525599e-199,1.71920802806679,0.84,0.46,9.67305385593749e-195,"11","SYNE1"
2.23068719084986e-182,2.38580084973469,0.358,0.075,8.77061589698349e-178,"11","ATF3"
6.81762231035975e-182,1.71026666454543,0.409,0.097,2.68055273998725e-177,"11","CTTNBP2"
3.42167404043015e-175,1.48112056870934,0.344,0.071,1.34533379921633e-170,"11","CD200"
6.96593470444667e-174,1.86935450399092,0.716,0.326,2.73886620709434e-169,"11","DUSP1"
4.30777682604338e-168,1.81961745240362,0.484,0.147,1.69373169246374e-163,"11","BICD1"
1.3457886655062e-166,1.69248369739868,0.575,0.207,5.29137187503729e-162,"11","BCAM"
8.32588941350432e-151,1.66317980583535,0.584,0.219,3.27357319960163e-146,"11","ITGB8"
1.61528228045307e-150,1.3855958047546,0.349,0.083,6.35096687028537e-146,"11","OSBPL10"
5.94106629017244e-147,1.44842309620137,0.287,0.058,2.33590844397e-142,"11","PROM1"
7.27518447252259e-145,1.2479163461342,0.3,0.063,2.86045703090643e-140,"11","ARHGAP10"
5.49998749326058e-137,1.75276797390123,0.627,0.266,2.16248508260019e-132,"11","RAPGEF3"
1.38097672529775e-128,1.38603700981546,0.78,0.482,5.42972428852571e-124,"11","CCDC198"
5.48820282957718e-124,1.6369195186747,0.425,0.134,2.15785158853316e-119,"11","EGR1"
2.24959979817084e-122,1.32802497044397,0.256,0.053,8.84497648644811e-118,"11","VIM"
5.15550059796653e-118,1.67742310045031,0.444,0.151,2.02703972510848e-113,"11","FOS"
4.34566278796342e-117,1.45452183433247,0.704,0.395,1.70862769497146e-112,"11","ARHGAP29"
8.08803704255815e-112,1.61962560115106,0.762,0.511,3.18005440439302e-107,"11","PAX8-AS1"
5.09722046233177e-105,1.34101374562448,0.344,0.104,2.00412514137961e-100,"11","RERG"
3.14405905583313e-101,1.62967032155101,0.36,0.119,1.23618113957247e-96,"11","UGCG"
9.98155274706137e-93,1.1126502759236,0.254,0.064,3.92454690908959e-88,"11","IFITM3"
1.11194975631245e-91,1.04378917366995,0.45,0.17,4.37196405186929e-87,"11","UGT2B7"
1.33850388865325e-91,1.99978054516918,0.564,0.3,5.26272958940685e-87,"11","KLF6"
1.62300931013054e-89,1.13820252779799,0.259,0.067,6.38134800557126e-85,"11","ALPK2"
3.34821450098903e-87,1.32919590066732,0.389,0.147,1.31645097749887e-82,"11","NEDD9"
1.13583671806295e-86,2.06770114728239,0.625,0.373,4.46588280807989e-82,"11","VMP1"
