"gene","avg_log2FC","pct.1","pct.2","p_val_adj"
"ID3",3.20545982508947,0.609,0.037,0
"FXYD4",2.94715653790585,0.706,0.07,0
"H2BC5",1.82581108331921,0.362,0.014,0
"H2AC6",3.23816354357944,0.775,0.075,0
"H2BC21",2.40002455881755,0.566,0.022,0
"ENSG00000203812",4.02981594642328,0.9,0.054,0
"H2BC18",2.13906249254499,0.45,0.014,0
"PWRN1",3.01890771995542,0.766,0.074,0
"ENSG00000272196",3.26148624117862,0.694,0.015,0
"ID1",2.4078322818945,0.603,0.065,5.29681294903107e-299
"H1-4",1.84220955837663,0.444,0.036,4.85423138886935e-278
"NPAP1",1.70537626677142,0.409,0.031,1.0510080531383e-276
"ARL4D",2.14093184737568,0.475,0.046,6.10400733698756e-262
"ELF5",1.5065550057278,0.359,0.028,2.07917049251631e-229
"H1-2",1.4858003940547,0.3,0.02,1.33409721639861e-227
"ENSG00000260760",1.77180504513886,0.397,0.036,1.71735583151816e-226
"AQP2",2.4030854846573,0.703,0.118,3.50432669848965e-226
"SCNN1G",2.00978221808837,0.625,0.088,2.48953716435777e-225
"ID4",1.70467318042014,0.322,0.025,2.21384793126167e-207
"AQP3",2.11676285496977,0.525,0.071,6.68174494135811e-204
"PDE10A",2.43462742817003,0.809,0.195,1.45038618617648e-198
"GATA3",1.92588831099743,0.669,0.131,9.05186175038451e-175
"GATA2",1.81378903439093,0.466,0.064,2.93223624701107e-172
"ID2",2.29493403760592,0.537,0.09,2.14330963961226e-168
"PRR35",1.23867621881251,0.294,0.027,5.2877682969549e-158
"PNP",2.03876389018071,0.506,0.087,3.46727157252916e-149
"SHCBP1",1.23947871299131,0.347,0.042,1.41312316045397e-138
"BTG2",1.88837505713754,0.688,0.184,1.93237986729074e-126
"HES1",2.03510230962439,0.5,0.095,1.71453899702619e-125
"PAPPA",1.75186451824093,0.462,0.086,4.20672452884507e-124
"FOS",1.78924442513196,0.634,0.154,1.56709519458288e-122
"SLC45A4",1.62990289227402,0.509,0.111,3.96954621453871e-110
"XIST",1.61612467812442,0.812,0.265,1.32748694816773e-109
