source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
C12	C12	COL4A3	ITGAV_ITGB8	0.238019664298077	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C12	COL4A3	ITGAV_ITGB8	0.167362715630766	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	Thick ascending limb (TAL) / loop of Henle	COL4A3	ITGAV_ITGB8	0.142224392006095	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C8	COL4A3	SDC4	0.132158467887343	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C12	COL4A4	ITGAV_ITGB8	0.130144465541962	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C11	COL4A3	ITGAV_ITGB8	0.126248964756642	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C12	COL4A3	ITGAV_ITGB8	0.122546757658662	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct principal cell	C12	LAMB1	ITGAV_ITGB8	0.116550060139503	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
Epithelial progenitor-like / repair state (provisional)	C12	COL6A3	ITGAV_ITGB8	0.116070704004677	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C12	COL6A3	ITGAV_ITGB8	0.11428049242493	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C12	LAMB1	ITGAV_ITGB8	0.111272100007234	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
Collecting duct principal cell	C12	COL6A3	ITGAV_ITGB8	0.110526896303347	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C12	COL4A3	ITGAV_ITGB8	0.107912853732089	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C12	COL4A4	ITGAV_ITGB8	0.104453669876751	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C14	C12	COL6A1	ITGAV_ITGB8	0.104329265545198	0	COL6A1_ITGAV_ITGB8	COL6A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C9	C12	COL6A3	ITGAV_ITGB8	0.100621074368303	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C16	COL4A3	ITGAV_ITGB8	0.100533810699645	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	C12	LAMB1	ITGAV_ITGB8	0.100022211364926	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C9	C12	LAMB1	ITGAV_ITGB8	0.10000421499386	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C13	C12	COL4A4	ITGAV_ITGB8	0.097956222417453	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	Thick ascending limb (TAL) / loop of Henle	COL4A3	ITGAV_ITGB8	0.0964066927321098	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C12	COL6A3	ITGAV_ITGB8	0.0959648938583786	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	C12	COL6A3	ITGAV_ITGB8	0.0942753611713713	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C12	COL6A3	ITGAV_ITGB8	0.0940621097220779	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	Injured tubular epithelial program (mixed)	VEGFA	FLT1	0.0922618165512724	0	VEGFA_VEGFR1	VEGFA - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
C5	C12	COL6A1	ITGAV_ITGB8	0.0919582892425512	0	COL6A1_ITGAV_ITGB8	COL6A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C12	COL6A3	ITGAV_ITGB8	0.0918133048919058	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C12	LAMA5	ITGAV_ITGB8	0.0907092002636905	0	LAMA5_ITGAV_ITGB8	LAMA5 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C10	C8	COL4A3	SDC4	0.0892461268088208	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C16	COL4A3	ITGA2_ITGB1	0.0890608617357573	0	COL4A3_ITGA2_ITGB1	COL4A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct intercalated cell	C12	COL6A3	ITGAV_ITGB8	0.0869476921307944	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C11	COL4A3	ITGAV_ITGB8	0.0850673732380693	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C5	C12	COL6A3	ITGAV_ITGB8	0.0835084109830546	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
