,PCC,pvalue,adj_logp,adj_pvalue,weight_pcc
TSPAN6,-0.00193088668533452,2.28884517849867e-09,4.04579216443247,8.99928147282106e-05,-0.00781196622193336
TNMD,0.000369933126158242,0.0300482027113795,0,1,0
DPM1,0.0156193926462136,1.36195550008168e-22,17.2712456637932,5.35493663522117e-18,0.269766367512
SCYL3,-0.00495931097890185,3.30638135888147e-15,9.88605563789786,1.30000302268502e-10,-0.0490280242630614
FIRRM,-0.00365399553042115,0.0025249808110378,0,1,0
FGR,0.00111715229436665,0.618769961047621,0,1,0
CFH,-0.0518727055551585,0.647795847026971,0,1,0
FUCA2,0.00430337213596557,2.62524515449937e-06,0.986238716099232,0.103219388984606,0.00424415221027189
GCLC,0.00143802951780519,5.36830013226965e-05,0,1,0
NFYA,0.0177148265394265,5.62857568128057e-29,23.6550100717146,2.21304338636589e-24,0.419044400208811
STPG1,-0.00629716837212364,2.94893240516613e-11,5.93574376380486,1.15946124306322e-06,-0.0373783778944621
NIPAL3,0.00937447110788421,2.780239699025e-09,3.96132634132623,0.000109313464486265,0.0371353393356634
LAS1L,-0.00504215969327341,0.00105691249098426,0,1,0
ENPP4,0.00526279336902892,3.23606855975393e-24,18.8953908676052,1.27235743632405e-19,0.0994425377632423
SEMA3F,-0.00225561903910454,0.000397504672834204,0,1,0
CFTR,-0.00826832942966368,0.000195146073339018,0,1,0
ANKIB1,-0.00945600277331823,2.41542819907299e-14,9.0224144494671,9.49698059311519e-10,-0.0853159760561874
CYP51A1,0.0398676700360587,1.07182305942574e-45,40.3752854853497,4.21419390505011e-41,1.60966855934159
KRIT1,-0.0123158425508364,2.6516498606028e-16,10.9818924049318,1.04257569219181e-11,-0.135251257769365
RAD52,-0.00465265620351857,9.72012020774118e-13,7.4177369458249,3.82175686327968e-08,-0.0345121798170611
MYH16,0.0104102589580398,0.164753903303617,0,1,0
BAD,-0.0054752858110272,0.0114716005804794,0,1,0
LAP3,0.00147054537506523,2.09803657624217e-07,2.08359552643868,0.00824906021046895,0.00306402176491099
CD99,0.0262648194962175,3.75512013089986e-30,24.8307847464845,1.47643813306721e-25,0.652176079315846
HS3ST1,0.0573987028728202,1.78877197345321e-28,23.1528535999429,7.03309364522335e-24,1.32894376444103
AOC1,-0.0055868331779031,0.102847666787589,0,1,0
WNT16,-0.00488905642235146,0.208276299203515,0,1,0
HECW1,-0.0191722778529856,0.173581951168587,0,1,0
MAD1L1,0.0236446858539854,1.30382197056185e-15,10.2901902866454,5.12636722385508e-11,0.243308316705463
LASP1,0.0114158623507983,5.04855692020566e-24,18.7022413245622,1.98499160988646e-19,0.213502212612613
SNX11,0.0170456433999442,7.85578723246387e-13,7.51021886923089,3.08873842406014e-08,0.128016512700442
TMEM176A,-0.00365331240419979,0.000222432237543747,0,1,0
M6PR,0.00862191003945504,1.33416961232688e-20,15.2801975369259,5.24568808174684e-16,0.131744488548478
KLHL13,0.047554746323043,1.80665787373086e-38,33.1485326635312,7.10341742793501e-34,1.57637006179533
CYP26B1,0.00284637334915343,0.797257991482877,0,1,0
ICA1,-0.0162297930268873,7.68133062936461e-13,7.51997212270496,3.02014557685358e-08,-0.122047591119464
DBNDD1,0.00803692848453534,1.40165515996079e-22,17.2587674015154,5.51102775793384e-18,0.138707479337209
ALS2,0.00631196264580064,9.4348702877458e-22,16.4306726478751,3.70960229973589e-17,0.103709791998766
CASP10,0.00477068539326158,2.50803374703039e-07,2.00607520578125,0.00986108708657408,0.00957035368200485
CFLAR,0.0160062938372544,3.43514726661169e-07,1.86946322142742,0.0135063120228639,0.0299231776401076
TFPI,-0.000569912437356813,0.00164696885057796,0,1,0
NDUFAF7,-0.00759097737477604,1.06565541661171e-10,5.37779178490261,4.1899439670339e-06,-0.0408226957654521
RBM5,0.00184117814071905,1.08882642398286e-06,1.36844992974167,0.042810477338158,0.00251956009730889
MTMR7,0.00227148560505693,0.00283173824259478,0,1,0
SLC7A2,-0.0203667945722519,0.00713435874880593,0,1,0
ARF5,0.0276937811444036,3.24633254201364e-42,36.894015576409,1.27639302886892e-37,1.02173479291129
SARM1,0.000419644052230282,2.05680496616749e-08,3.09221546941761,0.000808694576597736,0.00129762982995557
POLDIP2,0.00495635763785681,1.35176059199788e-07,2.27450880039557,0.00531485229561725,0.0112732790652131
PLXND1,-0.00288904933699935,0.775305440859728,0,1,0
AK2,0.00718384772329431,3.2865816926858e-33,27.8886641498995,1.2922181899302e-28,0.200347916458976
CD38,-0.00272140328873281,0.707309874652498,0,1,0
FKBP4,0.00832326712919499,7.99965527721264e-09,3.50233730897202,0.000314530446189446,0.0291508889991201
KDM1A,0.00276447635941437,1.9180491417766e-16,11.122548851751,7.54138561563722e-12,0.0307480233570972
RBM6,0.0120381190422899,5.39074995682973e-15,9.67375939356883,2.11953506802631e-10,0.116453867166252
CAMKK1,0.00232861364156549,0.00217485114005096,0,1,0
RECQL,0.000816472393804226,1.31154829827079e-05,0.287624293377944,0.515674559914107,0.000234837295330539
VPS50,-0.00784624618029398,1.30376723061309e-10,5.29020852054338,5.12615199732454e-06,-0.0415082783972721
HSPB6,0.00146425189612057,0.200134615166596,0,1,0
ARHGAP33,0.00474076762469948,1.14048259538149e-09,4.34831991965602,4.48414946852094e-05,0.0206143742969411
NDUFAB1,-0.0101625907508993,3.64248392642644e-06,0.844010937671094,0.143215183019235,-0.00857733774883414
PDK4,0.0589670894624647,4.34155791421038e-46,40.7677629829918,1.70701374070924e-41,2.40395632700263
SLC22A16,0.0048875912158776,0.0948972548125645,0,1,0
ZMYND10,-0.00764907911721518,0.0761617449578985,0,1,0
ABCB5,0.007963565050981,0.227141592123189,0,1,0
SLC25A13,0.0368416253327161,4.86361163991629e-47,41.7184496924874,1.91227482458229e-42,1.53697549303239
ST7,0.0373569923121119,1.06655283945693e-51,46.377426205404,4.19347245417677e-47,1.73252115421081
CDC27,0.000565230634436741,3.35795898614047e-19,13.8793331942661,1.32028231417071e-14,0.00784502430695393
SLC4A1,0.0250738897793338,1.24531182269933e-20,15.3101304704522,4.89631702448921e-16,0.383884523923339
CALCR,0.00549255565686755,5.69577531182349e-08,2.64985573283617,0.00223946493710276,0.0145544800952722
HCCS,0.00659270637441893,3.78217299527451e-05,0,1,0
DVL2,0.00947543021286915,9.19905681898971e-13,7.44166528032625,3.61688516009037e-08,0.0705129800312627
PRSS22,0.0269301308504302,5.93312617383609e-16,10.6321249975199,2.33278654902888e-11,0.286324517401342
UPF1,0.00372576478045041,1.10547317397271e-07,2.36186037344922,0.00434649942542592,0.00879973619573855
SKAP2,0.0167632922790816,1.13791843699228e-20,15.3492974475745,4.47406771056624e-16,0.257304759392253
SLC25A5,0.031756653181888,1.22159826601969e-21,16.3184801740646,4.80308006233621e-17,0.518220315343283
MCUB,-0.00529419804664544,0.000802794195301501,0,1,0
HOXA11,0.00779755275660891,0.117048691783435,0,1,0
POLR2J,0.032103347901285,4.91394848086106e-38,32.7139779827508,1.93206626370495e-33,1.05022821641523
DHX33,0.0178252442408768,3.51709384875322e-16,10.859224624645,1.38285095945279e-11,0.193568331200841
THSD7A,0.030848177852799,9.30737298799175e-31,25.4365814632797,3.6594729114186e-26,0.784672188946462
LIG3,-0.00810601393204157,2.87967323107474e-14,8.94606537237063,1.13222992099396e-09,-0.072516930545391
RPAP3,0.00569175595990879,2.37047729944008e-12,7.03057278094855,9.3202426459385e-08,0.0400163045275365
ACSM3,-0.00769258915962937,2.126644213547e-17,12.0777137429177,8.36153971882408e-13,-0.0929088898118755
REXO5,0.000887680632015808,0.00182549599985691,0,1,0
CIAPIN1,0.0101618075518942,5.25575884359241e-10,4.68477315191592,2.06645926212366e-05,0.0476057631940503
SPPL2B,0.00121827409729883,0.00238438692864879,0,1,0
ATOSB,0.0118319183246656,5.10696954727411e-11,5.6972453134836,2.00795828659723e-06,0.0674093412247219
COPZ2,-0.00318488175066551,0.119481808324683,0,1,0
PRKAR2B,-0.00709358363192428,0.16916144212047,0,1,0
MSL3,0.00910581599017425,5.00166755208262e-12,6.70629375973839,1.96655564812785e-07,0.0610662769522316
CREBBP,-0.00746285792491958,4.77376015496643e-26,20.7265479864263,1.8769470177297e-21,-0.154679282896727
TSPOAP1,-0.00680465994405335,6.56709737232754e-09,3.58803512591,0.000258205134485174,-0.0244153588991362
MPO,-0.000632114242771484,0.590808222837479,0,1,0
PON1,-0.0224641278155681,0.588960703954286,0,1,0
GCFC2,-0.00241190211711768,1.07335631450084e-20,15.3746646660933,4.2202223573544e-16,-0.0370821862581248
WDR54,0.0101270800333693,5.51514589089204e-05,0,1,0
CROT,0.000872831776096314,1.02106402224293e-17,12.3963556078053,4.01461952265474e-13,0.0108199330822822
ABCB4,-0.00912211779653123,0.000567098484899875,0,1,0
KMT2E,0.0258698405015901,5.67874118043582e-14,8.65115650633298,2.23276745732376e-09,0.223804038973127
RHBDD2,-0.000304044071032063,2.73620117629776e-11,5.96826055639575,1.07581957849675e-06,-0.00181461423654665
SOX8,0.000676649653871617,0.812950054459854,0,1,0
IBTK,0.0151941417532757,2.73209799018874e-30,24.9689123098443,1.07420628778241e-25,0.379381193060886
ZNF195,0.0113153044757576,4.10204551966994e-15,9.79240810631247,1.61284225742383e-10,0.110804079273802
MYCBP2,-0.000318295461171769,1.42993553363427e-12,7.25009212322872,5.62222053114324e-08,-0.0023076714159009
FBXL3,-0.00200989278720482,1.95158101086587e-13,8.11502199794057,7.67322621852241e-09,-0.0163103241816692
ITGAL,-0.00543247804330401,0.869357311074553,0,1,0
PDK2,-0.0141183747500316,9.28989388111683e-07,1.43739782860399,0.0365260047617751,-0.0202937212091128
ITGA3,0.0864657541786061,1.04046885004284e-73,68.3881794989934,4.09091542459844e-69,5.91323551728235
ZFX,-0.00223392817728426,1.50310008277994e-12,7.22842068294159,5.90988890547418e-08,-0.0161477726408876
LAMP2,0.0109947534604228,4.94561207715995e-25,19.7111885333947,1.94451575649775e-20,0.216719658336588
ITGA2B,0.00125202695177246,0.102430089660559,0,1,0
ASB4,0.0161664043985281,3.50529975175716e-05,0,1,0
GDE1,0.00827392466142584,0.000569301660278393,0,1,0
REX1BD,-0.00560963133641493,6.33416347693336e-11,5.60371931387568,2.49046639586066e-06,-0.0314347994635906
CRLF1,0.0013524993366003,0.337124951881858,0,1,0
OSBPL7,-0.00760554482818228,0.00160776681992475,0,1,0
TMEM98,0.0023119974575654,9.4979352099052e-16,10.4277793789407,3.73439816583052e-11,0.0241089994121638
YBX2,-0.0170775872416329,0.170444230969869,0,1,0
MAP3K14,0.0867876350092289,2.66404685735158e-59,53.9798667223818,1.04744994337349e-54,4.6847849709489
ABCC8,-0.00581225260310159,0.869599589674587,0,1,0
TMEM132A,0.00783213638630663,0.00213422660158885,0,1,0
AP2B1,0.0465938702242229,2.2210005327694e-79,74.058859918934,8.73252989474271e-75,3.45068890801671
ZNF263,-0.0147938269633043,0.00679816265984844,0,1,0
CX3CL1,0.0153874289187016,7.42511763247981e-13,7.534705243303,2.91940775073841e-08,0.115939741354693
SPATA20,-0.00547692760603395,3.07176520455139e-10,4.91802056504838,1.20775664312551e-05,-0.0269356425997562
TNFRSF12A,0.167697372651481,7.55099108438555e-174,168.527404624173,2.96889867455871e-169,28.2616029752468
MAP3K9,0.015364958970385,1.19045215612138e-11,6.32969663572025,4.68061978743805e-07,0.0972555291028254
RALA,0.0133187378747863,1.48486383529403e-15,10.2337219517725,5.83818762760908e-11,0.136300260159104
BAIAP2L1,0.0364721833487908,1.68229687974021e-40,35.1795059422461,6.61445487176256e-36,1.28307339084547
KDM7A,0.0175628097804943,2.0306081515025e-26,21.0977824564134,7.98394513007754e-22,0.370536340072238
ETV1,0.0138451106052516,0.000905694030505333,0,1,0
AGK,0.0285863825836494,2.32673235179841e-30,25.0386621531747,9.14824626080097e-26,0.715764775693394
ALDH3B1,-0.0102312105776809,0.209147019111384,0,1,0
TTC22,-0.00520626114506049,4.60233576085528e-05,0,1,0
PHTF2,0.0397304590463613,1.26272899669488e-36,31.3040984281506,4.96479786920495e-32,1.2437262005829
FARP2,0.00772521523545026,1.13170928288903e-30,25.3516737034408,4.44965455846309e-26,0.195847135937984
USH1C,-0.00406915373895517,0.000325766695418535,0,1,0
GGCT,0.0156804564749079,9.1796956823405e-12,6.44258029759088,3.60927274838264e-07,0.101022599942473
DBF4,0.00580597752884081,0.00023206508933225,0,1,0
TBXA2R,-0.00066150811979253,0.0137234333272101,0,1,0
IFRD1,0.0907219022259674,1.78415267208839e-96,91.1539765669292,7.01493147611713e-92,8.26966214961308
COX10,0.0309976617186935,4.87703673264148e-26,20.7172525550571,1.91755330253998e-21,0.642186386442399
GTF2IRD1,0.0391030767553062,7.26693169906993e-41,35.5440575033242,2.85721220544031e-36,1.3898820087475
PAF1,0.00534643104503095,2.26194268862265e-07,2.05092698475347,0.00889350626312654,0.0109651397023777
VPS41,-0.00205374787230843,5.87415994774744e-23,17.6364628138898,2.30960220825534e-18,-0.0362208479790729
ARHGAP44,0.0019505772410412,0.000387308388849032,0,1,0
ELAC2,-0.006581333896428,2.67989636501092e-09,3.97729058202476,0.000105368165279499,-0.0261758773234234
SCIN,0.0488323067860247,3.77580986270569e-41,35.828398465117,1.48457292181862e-36,1.74958334550053
ARSD,-0.0130716657627147,3.5366238615626e-10,4.85681970887807,1.39052976988918e-05,-0.0634867239042193
PNPLA4,0.00278452405212566,6.14227640204621e-08,2.61707922588946,0.00241502023575653,0.0072873200508076
ADIPOR2,0.0574935032631173,2.43449928993181e-52,47.0189989294486,9.5719643081539e-48,2.70328696837876
UPP2,-0.00773234137014186,7.57526844371847e-05,0,1,0
MARK4,0.0180769437616412,2.06143383370889e-19,14.0912391819438,8.10514554737663e-15,0.254726538223832
PROM1,0.0484223450991998,6.09950804693347e-49,43.6201137730622,2.3982045738933e-44,2.11218820238558
CCDC124,0.00468748079145381,0.0022111643262849,0,1,0
PAFAH1B1,0.0614873790844558,1.20634329567109e-66,61.3239376667253,4.74310056991957e-62,3.77064820226548
NOS2,-0.00266507518202968,0.464280236634283,0,1,0
DNAH9,-0.00247249459853093,2.43098743465497e-05,0.0196258676026134,0.955815639557641,-4.8524851638945e-05
BLTP2,0.00791122326725616,8.9460060354901e-17,11.4537793948234,3.517390653034e-12,0.0906134060463464
SLC13A2,-0.00938357634505313,0.489405341247518,0,1,0
GAS7,-0.00928410661305393,0.00471306587228208,0,1,0
TRAPPC6A,-0.0166947130916998,0.0386089552850115,0,1,0
MATK,0.00461124220455025,0.208167808496932,0,1,0
SCN4A,-0.00613938088951005,0.891815718004567,0,1,0
ST7L,0.0132072533991783,8.91718750494198e-26,20.4551806828545,3.50605978319309e-21,0.270156754604436
PAX6,-0.00745999008305451,0.869599589674587,0,1,0
RPUSD1,0.00222425845416605,0.0527436625893474,0,1,0
RHBDF1,0.0188394762415011,6.20688451519465e-14,8.61253491664864,2.44042285368423e-09,0.162255646941301
LUC7L,0.0290524642658211,1.63514519286982e-34,29.1918522597327,6.42906386932556e-30,0.848095244629014
CACNA2D2,0.00318157671124995,0.000676513423004303,0,1,0
BAIAP3,0.00140578355624502,0.000263554821424786,0,1,0
TSR3,-0.00583775525670005,0.140990777225949,0,1,0
PIGQ,-0.00086517126194764,4.75527479589889e-08,2.72823296282754,0.00186967894425152,-0.00236038875533665
CRAMP1,0.0132158584055793,2.33049897755162e-15,10.0379596649275,9.16305587993744e-11,0.132660253612598
TEAD3,0.00847966969831957,8.60680657062962e-25,19.470566538919,3.38402420744016e-20,0.165103973089187
DNAJC11,0.000486797689882022,1.78237746684209e-20,15.154408898566,7.00795172412974e-16,0.0073771312433495
FMO3,-0.00610574581034125,0.0244323652054074,0,1,0
MYLIP,-0.0249712213674893,2.89254086979872e-05,0,1,0
NOX1,0.0189276050523683,0.0147525556247624,0,1,0
PSMB1,0.0278789182813731,1.42240432234775e-28,23.2523855183146,5.5926093146069e-24,0.648251355712078
SYN1,-0.00290213951451601,0.00239774131515184,0,1,0
JARID2,0.0141934187180289,4.79746643094294e-22,16.7243966371078,1.88626785131815e-17,0.237376364276865
CDKL5,0.0258354208230168,1.3992790763296e-17,12.2595042415624,5.50168547231273e-13,0.316729451162323
CAMK1G,-0.00389945083233729,0.457115428914826,0,1,0
CDK11A,-0.00305581926537048,2.16896078916254e-08,3.06915688082365,0.000852792003082928,-0.00937878872486527
NADK,0.00244190302123358,1.1111158440642e-21,16.3596492411576,4.36868527569162e-17,0.0399486769083043
TFAP2B,-0.0183488404003091,0.0520433045376704,0,1,0
DLEC1,0.0025016863751013,0.201233829299219,0,1,0
CYTH3,0.00466149656380507,3.01132023092047e-11,5.92665163978855,1.18399088839331e-06,0.027627066253744
ADAM22,0.0179955650921166,5.1820699538135e-24,18.6909053103415,2.03748626444039e-19,0.336353403142839
SYPL1,0.0148109049879126,7.52160932902208e-16,10.529097809162,2.9573463559849e-11,0.155945467259937
CYB561,0.0111003859165702,2.67849195796432e-13,7.97751823489644,1.05312946803241e-08,0.0885535310638267
SPAG9,0.0419578801000549,4.65219223663852e-41,35.737750929433,1.82914894360153e-36,1.49948026854278
CELSR3,0.00138562602923377,1.01979433422937e-05,0.396895986874179,0.400962736332304,0.000549949410311285
AASS,0.00272864828322342,1.27095904679987e-29,24.3012770248398,4.99715678020773e-25,0.0663096378339659
PLEKHG6,0.00507705245700965,8.74680373949827e-05,0,1,0
SS18L2,0.00979638549069397,8.84635573237918e-07,1.45864418229213,0.0347821014685685,0.0142894407034918
MPND,3.33646085295776e-05,0.290408704570205,0,1,0
MGST1,0.0111414666217753,2.29987054503453e-12,7.04370519049455,9.04263100896678e-08,0.0784772062735202
CRY1,0.0813112504765722,1.68559677507128e-78,73.1786548899632,6.62742940022528e-74,5.95024793729643
NFIX,0.00601888585304823,0.00325527952615012,0,1,0
ST3GAL1,-0.00904921255943695,4.79854089185731e-08,2.72429938156548,0.00188669030786046,-0.0246527641793287
MMP25,0.00466909299302257,0.0666513600051041,0,1,0
IL32,0.0381940555112097,7.96069167753334e-23,17.5044577779068,3.12998475377256e-18,0.668566232062997
PKD1,-0.00503924046095228,1.1769196067578e-08,3.33466178367142,0.000462741250985032,-0.0168041625838683
MAPK8IP2,0.000218516148439699,0.536213473555149,0,1,0
MED24,0.015354045034927,5.82866762396273e-17,11.6398392909993,2.29171553638966e-12,0.178718616673315
RHOBTB2,-0.00196153995569368,5.4834016183624e-05,0,1,0
HEATR5B,-0.00104971889672148,3.97658368784339e-13,7.80589845497803,1.56351317438626e-08,-0.00819399911407943
