,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa04934,1.10242003254836e-282,0.00429847835134558,0.963,0.544,3.42852630122539e-280,17,hsa04934
hsa04742,1.88190462242328e-226,0.000528832639312291,0.959,0.407,5.8527233757364e-224,17,hsa04742
hsa05142,2.90521861747359e-219,0.00384572432227988,0.951,0.562,9.03522990034286e-217,17,hsa05142
hsa04071,1.47886480851506e-208,0.00980797247017475,0.86,0.431,4.59926955448184e-206,17,hsa04071
hsa04730,2.30474376210646e-198,0.00445226733136509,0.966,0.691,7.1677531001511e-196,17,hsa04730
hsa04914,3.07501784285729e-197,0.00670410853433702,0.999,0.872,9.56330549128619e-195,17,hsa04914
hsa04927,2.01766370819257e-189,0.00233611333047921,0.962,0.622,6.27493413247889e-187,17,hsa04927
hsa05212,1.98087381656839e-188,0.00769729469681179,0.962,0.741,6.16051756952768e-186,17,hsa05212
hsa04924,2.74349144787331e-178,0.00164412019758866,0.934,0.53,8.53225840288599e-176,17,hsa04924
hsa04621,1.21217977227815e-173,0.00435574853630211,0.972,0.76,3.76987909178505e-171,17,hsa04621
hsa04350,2.0905411121219e-172,0.00320652052565155,0.894,0.557,6.5015828586991e-170,17,hsa04350
hsa05221,7.67189766852728e-170,0.0034504200065155,0.919,0.594,2.38596017491199e-167,17,hsa05221
hsa04540,8.86681954925285e-169,0.00479213386680554,0.971,0.807,2.75758087981764e-166,17,hsa04540
hsa05210,4.2278336230953e-165,0.00578800854393973,0.942,0.679,1.31485625678264e-162,17,hsa05210
hsa04022,4.86403969832864e-165,0.00738325896706337,0.975,0.865,1.51271634618021e-162,17,hsa04022
hsa04270,2.14026354704432e-164,0.00475898271321646,0.946,0.73,6.65621963130783e-162,17,hsa04270
hsa04912,3.40058946512109e-161,0.00369310217914714,0.967,0.619,1.05758332365266e-158,17,hsa04912
hsa04611,7.33923852919873e-160,0.00521586952885001,0.927,0.712,2.2825031825808e-157,17,hsa04611
hsa04310,1.66863985668145e-157,0.0041460175113269,0.799,0.402,5.18946995427931e-155,17,hsa04310
hsa04750,2.61346567459394e-157,0.00560743485559302,0.848,0.423,8.12787824798714e-155,17,hsa04750
hsa05412,4.22039041079025e-157,0.00172609910356988,0.975,0.779,1.31254141775577e-154,17,hsa05412
hsa05215,1.05391843941545e-153,0.00630994481022444,0.935,0.653,3.27768634658204e-151,17,hsa05215
hsa05017,6.54493989799194e-148,0.00571452824313426,0.979,0.791,2.03547630827549e-145,17,hsa05017
hsa05131,6.44623774396677e-147,0.00550061011528758,0.894,0.612,2.00477993837367e-144,17,hsa05131
hsa05145,1.45236637820414e-146,0.00361376492550902,0.956,0.779,4.51685943621487e-144,17,hsa05145
hsa04140,8.44039351888676e-145,0.00839900807016786,0.981,0.848,2.62496238437378e-142,17,hsa04140
hsa04215,3.67651112826994e-144,0.00267173507183715,0.983,0.741,1.14339496089195e-141,17,hsa04215
