cluster	group	n_cells
0	control	1067
0	diabetes	1606
1	control	1031
1	diabetes	797
10	control	320
10	diabetes	445
11	control	319
11	diabetes	458
12	control	327
12	diabetes	302
13	control	254
13	diabetes	332
14	control	232
14	diabetes	301
15	control	200
15	diabetes	270
16	control	101
16	diabetes	147
17	control	20
17	diabetes	231
2	control	1435
2	diabetes	900
3	control	828
3	diabetes	657
4	control	954
4	diabetes	675
5	control	662
5	diabetes	827
6	control	643
6	diabetes	714
7	control	624
7	diabetes	602
8	control	507
8	diabetes	456
9	control	387
9	diabetes	612
