"","celltype","pvalue","fdr"
1,0,0.261277732282131,0.368882107837962
2,1,0.372359670711572,0.377329313491204
3,10,0.307978471508639,0.369574165810367
4,11,0.2321093998883,0.368882107837962
5,12,0.123818096786437,0.368882107837962
6,13,0.171956484282416,0.368882107837962
7,14,0.171348108395608,0.368882107837962
8,15,0.286908306096193,0.368882107837962
9,16,0.208551158090798,0.368882107837962
10,17,0.270843794481338,0.368882107837962
11,2,0.242633224378899,0.368882107837962
12,3,0.197953688090856,0.368882107837962
13,4,0.175664925276555,0.368882107837962
14,5,0.34709181414623,0.377329313491204
15,6,0.248038007927863,0.368882107837962
16,7,0.270914796542729,0.368882107837962
17,8,0.377329313491204,0.377329313491204
18,9,0.183556138575786,0.368882107837962
