,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa00020,0,1.25143893403486e-06,0.823,0.485,0,3,hsa00020
hsa04928,0,1.18221921055539e-06,0.695,0.205,0,3,hsa04928
hsa00650,0,8.63802243998021e-07,0.859,0.267,0,3,hsa00650
hsa00620,0,7.65167179305078e-07,0.763,0.318,0,3,hsa00620
hsa04721,0,6.8806903875782e-07,0.923,0.399,0,3,hsa04721
hsa04977,0,6.710800686054e-07,0.96,0.29,0,3,hsa04977
hsa04340,0,5.73158716029692e-07,0.909,0.434,0,3,hsa04340
hsa04979,0,4.21972349209324e-07,0.914,0.334,0,3,hsa04979
hsa04727,0,2.9174212346323e-07,0.825,0.334,0,3,hsa04727
hsa04978,1.9246329039443e-284,2.08388176826137e-06,0.67,0.16,5.98560833126676e-282,3,hsa04978
hsa04974,7.55047063425426e-279,1.81171361603695e-07,0.582,0.157,2.34819636725307e-276,3,hsa04974
hsa03320,1.11590692713454e-275,9.48941105004153e-07,0.71,0.306,3.47047054338841e-273,3,hsa03320
hsa04910,1.63811688572922e-256,7.08175549097037e-07,0.66,0.29,5.09454351461786e-254,3,hsa04910
hsa04931,1.04056755265294e-239,9.53127911639378e-07,0.72,0.398,3.23616508875063e-237,3,hsa04931
hsa00240,3.48440445683824e-237,2.91855402328436e-07,0.684,0.259,1.08364978607669e-234,3,hsa00240
hsa04020,5.66571767384109e-229,4.53879357553482e-07,0.838,0.584,1.76203819656458e-226,3,hsa04020
hsa04920,6.10519887038705e-224,7.73436069163753e-07,0.714,0.416,1.89871684869037e-221,3,hsa04920
hsa04964,1.27665284495506e-221,1.02912572001812e-06,0.583,0.158,3.97039034781024e-219,3,hsa04964
hsa04068,5.63807422923524e-220,6.32668801466344e-07,0.626,0.269,1.75344108529216e-217,3,hsa04068
hsa00730,4.83577630435216e-171,9.7688940454413e-08,0.485,0.124,1.50392643065352e-168,3,hsa00730
hsa00592,1.79914859651724e-166,3.36917511234579e-08,0.524,0.199,5.59535213516862e-164,3,hsa00592
hsa04152,1.78685400457649e-162,5.63697537477649e-07,0.645,0.326,5.55711595423289e-160,3,hsa04152
hsa00062,2.40233141256734e-161,1.10094620022495e-07,0.577,0.244,7.47125069308443e-159,3,hsa00062
hsa00270,2.15314044324592e-146,3.57271131967415e-07,0.641,0.279,6.6962667784948e-144,3,hsa00270
hsa04015,1.49712335748892e-144,3.88047270318383e-07,0.553,0.288,4.65605364179054e-142,3,hsa04015
hsa04922,1.74318995605087e-137,5.86452302482925e-07,0.576,0.259,5.42132076331821e-135,3,hsa04922
hsa04550,9.31194611415641e-133,3.93753640318898e-07,0.7,0.446,2.89601524150264e-130,3,hsa04550
hsa00130,5.12884033958229e-125,1.88861799483718e-07,0.369,0.101,1.59506934561009e-122,3,hsa00130
hsa05231,9.84589859117323e-123,3.74588775037844e-07,0.52,0.25,3.06207446185487e-120,3,hsa05231
hsa04744,1.46404193184033e-117,2.55288501842624e-08,0.487,0.209,4.55317040802342e-115,3,hsa04744
hsa05150,5.96877097511324e-106,6.63878844299191e-09,0.384,0.081,1.85628777326022e-103,3,hsa05150
hsa05418,4.23721293261504e-104,2.7159450057194e-07,0.343,0.138,1.31777322204328e-101,3,hsa05418
hsa05031,1.07438237880732e-95,1.1804902472967e-07,0.603,0.373,3.34132919809077e-93,3,hsa05031
hsa01040,1.22879871172342e-94,5.810357476915e-08,0.459,0.151,3.82156399345984e-92,3,hsa01040
hsa00380,4.31497241047037e-84,1.29839278159364e-07,0.637,0.331,1.34195641965628e-81,3,hsa00380
hsa00071,5.67650908004143e-81,1.80490763866303e-07,0.698,0.495,1.76539432389289e-78,3,hsa00071
hsa05219,1.18756541651531e-76,2.79440571275566e-07,0.595,0.382,3.69332844536262e-74,3,hsa05219
hsa03430,1.74118363876224e-71,5.58354555163283e-08,0.619,0.387,5.41508111655058e-69,3,hsa03430
hsa04916,5.66648546291575e-69,8.23873253564976e-08,0.591,0.406,1.7622769789668e-66,3,hsa04916
hsa00010,2.1933964934807e-66,2.70696016491665e-07,0.605,0.324,6.82146309472496e-64,3,hsa00010
hsa04670,3.70291228720305e-46,1.72440123659678e-07,0.352,0.221,1.15160572132015e-43,3,hsa04670
hsa00591,9.54033783716672e-46,3.19154690433789e-09,0.33,0.14,2.96704506735885e-43,3,hsa00591
hsa05322,1.70509775170558e-44,1.43167597086523e-08,0.67,0.414,5.30285400780434e-42,3,hsa05322
hsa04720,1.62775907258377e-42,1.10573147355585e-07,0.487,0.33,5.06233071573553e-40,3,hsa04720
hsa05202,2.23199050766064e-42,3.28818075723184e-07,0.635,0.515,6.94149047882459e-40,3,hsa05202
hsa04713,5.46974296768294e-40,7.69795997930757e-08,0.694,0.56,1.70109006294939e-37,3,hsa04713
hsa04658,6.30910691238985e-39,7.45487316832352e-08,0.313,0.16,1.96213224975324e-36,3,hsa04658
hsa05224,1.49295010775235e-38,1.93752452711159e-07,0.469,0.348,4.6430748351098e-36,3,hsa05224
hsa05133,4.60547666216121e-37,4.94021521317154e-08,0.452,0.293,1.43230324193214e-34,3,hsa05133
hsa04912,6.80928567185933e-36,1.15997396354202e-07,0.315,0.187,2.11768784394825e-33,3,hsa04912
hsa04728,9.54218883607746e-34,1.05160507735188e-07,0.461,0.318,2.96762072802009e-31,3,hsa04728
hsa04512,1.0497175533491e-33,1.03487681468624e-07,0.209,0.164,3.26462159091571e-31,3,hsa04512
hsa04140,1.08573387683457e-33,1.92787741392064e-07,0.603,0.454,3.37663235695552e-31,3,hsa04140
hsa04612,2.09130963596308e-33,1.12105484497082e-07,0.4,0.259,6.50397296784517e-31,3,hsa04612
hsa05132,2.44143133589433e-32,3.10587211667331e-07,0.394,0.263,7.59285145463135e-30,3,hsa05132
hsa04725,4.36220928786409e-29,5.07405807820724e-08,0.424,0.283,1.35664708852573e-26,3,hsa04725
hsa05226,3.40731552205237e-28,1.67898663457278e-07,0.504,0.381,1.05967512735829e-25,3,hsa05226
hsa04014,1.8183592720642e-27,1.26315612034742e-07,0.427,0.288,5.65509733611967e-25,3,hsa04014
hsa04966,1.28586451102966e-26,1.70121509905419e-07,0.464,0.39,3.99903862930223e-24,3,hsa04966
hsa05321,2.25578463339654e-26,3.30839505418976e-08,0.502,0.3,7.01549020986325e-24,3,hsa05321
hsa04120,4.87310042991062e-26,2.12976785339801e-07,0.603,0.471,1.5155342337022e-23,3,hsa04120
hsa04925,6.4433877297505e-26,6.21442975316937e-08,0.379,0.264,2.00389358395241e-23,3,hsa04925
hsa05225,5.4721223845497e-25,2.22609882531617e-07,0.29,0.18,1.70183006159496e-22,3,hsa05225
hsa04650,7.88665189115346e-25,3.50014981281791e-08,0.44,0.285,2.45274873814873e-22,3,hsa04650
