,PCC,pvalue,adj_logp,adj_pvalue,weight_pcc
TSPAN6,-0.0367072392205707,0.999781368105893,0,1,0
TNMD,-0.0119472984221989,0.580161292314948,0,1,0
DPM1,-0.0670535896876771,0.883887648494132,0,1,0
SCYL3,-0.0461543385717021,0.921086501569179,0,1,0
FIRRM,-0.02510384673598,0.471616594482714,0,1,0
FGR,0.00507301259827033,0.477571512530783,0,1,0
CFH,-0.0432708425759138,0.998113920287919,0,1,0
FUCA2,-0.0429196374616613,0.766492922984238,0,1,0
GCLC,-0.020923561849058,0.755236154443886,0,1,0
NFYA,-0.0461567746516902,0.247987133585183,0,1,0
STPG1,-0.0360546374992717,0.952836139561524,0,1,0
NIPAL3,-0.0512282629047956,0.911553546762879,0,1,0
LAS1L,0.0101074287024149,0.179446300335603,0,1,0
ENPP4,-0.0705622205047717,0.902068705047679,0,1,0
SEMA3F,0.00317682460241998,0.999000251838718,0,1,0
CFTR,-0.0376958872964267,0.441565282762834,0,1,0
ANKIB1,-0.0168276808408395,0.000666564483432599,0,1,0
CYP51A1,-0.0925861497609794,0.999725693549236,0,1,0
KRIT1,-0.0494135520175351,0.00166312419341867,0,1,0
RAD52,-0.0399161139177673,0.235794244377097,0,1,0
MYH16,-0.00341719159378394,0.0749807115140013,0,1,0
BAD,-0.024480898080183,0.0589468255756868,0,1,0
LAP3,-0.0128910252870939,0.112386891928636,0,1,0
CD99,-0.0711094049804826,0.949264670390801,0,1,0
HS3ST1,-0.10108621787616,0.983307183126364,0,1,0
AOC1,0.0332036532824565,0.0231195857537578,0,1,0
WNT16,-0.00391274002311281,0.207462687569533,0,1,0
HECW1,0.0704830142985617,8.42569811444042e-46,40.4798026869906,3.31281598463568e-41,2.85313851159011
MAD1L1,-0.0463621602122306,0.99888682398189,0,1,0
LASP1,-0.0450729195442696,0.25390406670812,0,1,0
SNX11,-0.0433655089334018,0.988913719110978,0,1,0
TMEM176A,0.0247000846348915,5.77904411928169e-10,4.64355257162238,2.27220456681918e-05,0.114696141525641
M6PR,-0.0625648569860656,0.773062412990072,0,1,0
KLHL13,-0.150713789925207,0.999961030392801,0,1,0
CYP26B1,-0.00212647621275907,0.938243049382745,0,1,0
ICA1,-0.0920642507353611,0.999999999999999,0,1,0
DBNDD1,-0.0459036064617348,0.831030069063317,0,1,0
ALS2,-0.0411829863010742,0.0627269764499392,0,1,0
CASP10,-0.0194783105266672,0.656386675013629,0,1,0
CFLAR,-0.0631413446404099,0.0137487781055122,0,1,0
TFPI,0.0390237092425368,0.00100261908684251,0,1,0
NDUFAF7,-0.0439670767872492,0.635229058978382,0,1,0
RBM5,-0.0344834780227291,0.968926402255195,0,1,0
MTMR7,-0.0304559228369959,0.780504618022479,0,1,0
SLC7A2,-0.0112599854169294,0.00745863048561309,0,1,0
ARF5,-0.0795267147021813,0.994408314616867,0,1,0
SARM1,-0.0412520132053417,0.827559231467691,0,1,0
POLDIP2,-0.0342181455235987,0.291858755578869,0,1,0
PLXND1,0.00328944958207414,0.995734663968869,0,1,0
AK2,-0.0934663033544413,0.497172198531347,0,1,0
CD38,0.0052548384525836,0.739804806928368,0,1,0
FKBP4,-0.00721101021897913,0.562564756369318,0,1,0
KDM1A,-0.0463864645737182,0.813590074048166,0,1,0
RBM6,-0.0811426202930779,0.0558097795468192,0,1,0
CAMKK1,-0.0127247003651443,0.972081393090035,0,1,0
RECQL,-0.00300998583716818,0.316779569424279,0,1,0
VPS50,-0.061179035124402,0.606997502366604,0,1,0
HSPB6,-0.0128550620908129,0.754378780430953,0,1,0
ARHGAP33,-0.0323631993651882,0.832860895089361,0,1,0
NDUFAB1,-0.0133328682495086,0.00751930609292957,0,1,0
PDK4,-0.112143540885379,3.57581375824226e-13,7.85203369062862,1.40593845346569e-08,-0.880554861218388
SLC22A16,-0.00182232979923609,0.712946557045741,0,1,0
ZMYND10,0.00574835429090835,0.413100867749215,0,1,0
ABCB5,-0.0115606653662987,0.88348673331718,0,1,0
SLC25A13,-0.0885630949812088,0.13868919262792,0,1,0
ST7,-0.124633934026983,0.288424673348382,0,1,0
CDC27,-0.0781901788360557,0.996090858769632,0,1,0
SLC4A1,-0.111552131012104,0.999779279470601,0,1,0
CALCR,-0.0888664486451842,0.997773069939294,0,1,0
HCCS,-0.0326491815617228,0.316380959621293,0,1,0
DVL2,-0.0296164880213098,0.134948780197054,0,1,0
PRSS22,-0.0421693043133068,0.977039150288689,0,1,0
UPF1,0.00563957238741308,0.169841059877495,0,1,0
SKAP2,-0.0457229620140703,0.34496455010851,0,1,0
SLC25A5,-0.05642676009791,0.306912360807037,0,1,0
MCUB,-0.0111507514305078,0.63152213286171,0,1,0
HOXA11,0.00138494117399577,0.841413451961227,0,1,0
POLR2J,-0.108913228189072,0.858568468867917,0,1,0
DHX33,-0.0474737340721361,0.991733818614769,0,1,0
THSD7A,-0.133421017641239,0.979484304021762,0,1,0
LIG3,-0.015041059002727,0.588405147305164,0,1,0
RPAP3,-0.0294594385872664,0.682653922835805,0,1,0
ACSM3,-0.0544075494107575,0.110804974849633,0,1,0
REXO5,-0.0237115998793758,0.398244569458447,0,1,0
CIAPIN1,-0.0332188976976554,0.53039843311993,0,1,0
SPPL2B,0.0680978505145048,7.70201079943585e-05,0,1,0
ATOSB,-0.0115998107023155,0.102686299727112,0,1,0
COPZ2,0.0057993555057652,0.314472213957277,0,1,0
PRKAR2B,-0.0370972171724319,0.934454625061829,0,1,0
MSL3,-0.0365535989625866,0.977934347008103,0,1,0
CREBBP,-0.0562041877184925,0.00755689854168897,0,1,0
TSPOAP1,-0.0156060427761382,0.291549870998688,0,1,0
MPO,0.000539326540284905,0.590788924926317,0,1,0
PON1,-0.00284449249920061,0.24283635952677,0,1,0
GCFC2,-0.0952340035874837,0.949637004922528,0,1,0
WDR54,-0.0108936899147144,0.129185235831299,0,1,0
CROT,-0.0448874498934978,0.870077830128206,0,1,0
ABCB4,-0.000888160167575262,0.100545442984311,0,1,0
KMT2E,-0.0852016587890228,0.700314525174874,0,1,0
RHBDD2,-0.0173650349637241,0.822739504851742,0,1,0
SOX8,-0.00272835536715032,0.827961352153607,0,1,0
IBTK,-0.0946029909475843,0.996660895728407,0,1,0
ZNF195,-0.00419126160407824,0.0415411348767345,0,1,0
MYCBP2,-0.0109472237929892,0.0155059802367991,0,1,0
FBXL3,-0.0552694505780763,0.99015742142665,0,1,0
ITGAL,0.0178168938986594,0.251355923503033,0,1,0
PDK2,-0.000638855128870515,0.00130584409954972,0,1,0
ITGA3,-0.101348876139611,0.99999997647865,0,1,0
ZFX,-0.0747043928417827,0.998217639972761,0,1,0
LAMP2,-0.082984821914836,0.824782903404718,0,1,0
ITGA2B,-0.00401268287396063,0.899747404662886,0,1,0
ASB4,0.00676073686953978,0.192299718407253,0,1,0
GDE1,-0.023208063659954,0.527261548641183,0,1,0
REX1BD,0.0131718633261124,0.177427394048822,0,1,0
CRLF1,-0.0149697880108326,0.336946900717719,0,1,0
OSBPL7,0.0015479778372489,0.339068611500601,0,1,0
TMEM98,-0.0323812441139355,0.564115331859978,0,1,0
YBX2,-0.00879050682723695,0.948033917762821,0,1,0
MAP3K14,-0.0765756731717435,0.601895466237229,0,1,0
ABCC8,4.97290172058877e-05,0.90293614254974,0,1,0
TMEM132A,-0.00645882146795765,0.899362356729431,0,1,0
AP2B1,-0.148860066177806,0.999991547337616,0,1,0
ZNF263,0.00910746961213931,0.633978127002001,0,1,0
CX3CL1,-0.0397820658919349,0.995045154642918,0,1,0
SPATA20,-0.0129914148260756,0.660373385087904,0,1,0
TNFRSF12A,-0.218609303106359,0.999999999993527,0,1,0
MAP3K9,-0.0350326448422751,0.420662825144231,0,1,0
RALA,-0.0438956156789757,0.825477111392833,0,1,0
BAIAP2L1,-0.0971278879407399,0.999591625087585,0,1,0
KDM7A,-0.0989101510279546,0.999985669812019,0,1,0
ETV1,-0.0111718879095889,0.167838226606834,0,1,0
AGK,-0.0788583838247539,0.346119328569351,0,1,0
ALDH3B1,0.0243363921400218,4.80891935750334e-08,2.72336108736557,0.00189077091298316,0.0662767833610046
TTC22,-0.00790183915418824,0.307409615156423,0,1,0
PHTF2,-0.105041010240903,0.999972176516791,0,1,0
FARP2,-0.0847532435242959,0.452527723835277,0,1,0
USH1C,0.039639301274699,2.01460209060607e-28,23.1012193013662,7.92101249984495e-24,0.915716191699748
GGCT,-0.0278124305373525,0.426724657122404,0,1,0
DBF4,-0.0324293904497509,0.409751746041495,0,1,0
TBXA2R,-0.00365789514871016,0.942000634711995,0,1,0
IFRD1,-0.220969779600849,0.985023398290046,0,1,0
COX10,-0.063766439761471,0.978137500773279,0,1,0
GTF2IRD1,-0.0806006571854543,0.999999562970343,0,1,0
PAF1,-0.0244841635991123,0.374534117107675,0,1,0
VPS41,-0.068775074954846,0.954070411953585,0,1,0
ARHGAP44,-0.0285859945229907,0.992536621096144,0,1,0
ELAC2,-0.0231625691698398,0.941040617092685,0,1,0
SCIN,-0.231197444191815,1,0,1,0
ARSD,-0.0340235118636493,0.960852189031886,0,1,0
PNPLA4,-0.0258367453056237,0.905403942715641,0,1,0
ADIPOR2,-0.139542721853932,0.999999275665333,0,1,0
UPP2,-0.0106299305103987,0.00745656284080971,0,1,0
MARK4,-0.0412989100003713,0.889560721459401,0,1,0
PROM1,-0.0872197020492829,0.999915146748399,0,1,0
CCDC124,-0.0119938069807458,0.266582946271809,0,1,0
PAFAH1B1,-0.204709672232755,0.991857413115673,0,1,0
NOS2,-0.00962786807078988,0.511333641408919,0,1,0
DNAH9,-0.0549363136817644,0.995566190966204,0,1,0
BLTP2,-0.0343570602505678,0.00184653413174895,0,1,0
SLC13A2,0.0616675309189142,2.29623235958322e-24,19.0443927487275,9.02832639140929e-20,1.17442067866409
GAS7,-0.0157010081096102,0.748397418020056,0,1,0
TRAPPC6A,-0.0147345643538824,0.305833688628164,0,1,0
MATK,0.00502307160841603,0.621007434242653,0,1,0
SCN4A,0.00729143736949332,0.9063524464983,0,1,0
ST7L,-0.103755271610318,0.994841105876272,0,1,0
PAX6,-0.000864769997813667,0.0457152053451215,0,1,0
RPUSD1,0.00335635411095246,0.0594921445089627,0,1,0
RHBDF1,-0.0196109293974406,0.951484156424777,0,1,0
LUC7L,-0.127035038930113,0.850327712353357,0,1,0
CACNA2D2,-0.00701692854672711,0.564000536714317,0,1,0
BAIAP3,0.00416262354678262,0.696156964463227,0,1,0
TSR3,0.011236560967872,0.0169128728219434,0,1,0
PIGQ,0.00538601757360466,0.99914585686628,0,1,0
CRAMP1,-0.0494118158207952,0.53732247410264,0,1,0
TEAD3,-0.0434228528509286,0.584674339800439,0,1,0
DNAJC11,-0.0616712428309236,0.998127472158492,0,1,0
FMO3,0.00154794067584493,0.484122755324284,0,1,0
MYLIP,-0.0224477238628266,0.837349708236543,0,1,0
NOX1,-0.0201053141545811,0.266795640957991,0,1,0
PSMB1,-0.0909617817696832,0.912079758798321,0,1,0
SYN1,-0.00795877794430841,0.408889779746203,0,1,0
JARID2,-0.0626671719017083,0.238132278253297,0,1,0
CDKL5,-0.066705935879591,0.799010765587521,0,1,0
CAMK1G,-0.0161435230299319,0.853520492922253,0,1,0
CDK11A,0.0222244375338097,0.36329441796141,0,1,0
NADK,-0.0157594670051372,0.059865846652202,0,1,0
TFAP2B,-0.0183763195710663,0.999999358939981,0,1,0
DLEC1,-0.000278250071003058,0.271729806320447,0,1,0
CYTH3,-0.0402116128878048,0.995927113651841,0,1,0
ADAM22,-0.0842507149875419,0.968378823980063,0,1,0
SYPL1,-0.0543821750809099,0.712587541961802,0,1,0
CYB561,-0.0179161081248326,0.661286648658102,0,1,0
SPAG9,-0.156273013708887,0.0370941957954425,0,1,0
CELSR3,0.0110559702493605,0.0959919593240765,0,1,0
AASS,-0.0599711866504299,9.08869937996372e-15,9.44690684282977,3.57349482221413e-10,-0.566542213540568
PLEKHG6,-0.0199621748051996,0.783486650606534,0,1,0
SS18L2,-0.0103777348589827,0.379755658302912,0,1,0
MPND,0.00678427942739063,0.0726691581914429,0,1,0
MGST1,-0.00544768567758969,3.40762838815912e-12,6.8729563540666,1.3398113296564e-07,-0.0374417058927477
CRY1,-0.146894240986061,0.999756264593858,0,1,0
NFIX,0.00509478762640755,0.00828158469256497,0,1,0
ST3GAL1,-0.0294502593784931,0.00173725325327648,0,1,0
MMP25,0.00130014521193323,0.569361048180568,0,1,0
IL32,-0.0325841100050196,0.125709529101525,0,1,0
PKD1,-0.0293990527086877,0.92361248878522,0,1,0
MAPK8IP2,0.00162202898164005,0.214441936968341,0,1,0
MED24,-0.044977574989965,0.965221841783674,0,1,0
RHOBTB2,-0.00227230847578063,0.241319791133106,0,1,0
HEATR5B,-0.0292124586957332,0.621293199372279,0,1,0
SEC62,-0.0435253354732942,0.757642441521884,0,1,0
RPS20,-0.0221327061458286,0.772568508277685,0,1,0
CSDE1,-0.10971192977278,0.971008918881203,0,1,0
UBE3C,-0.0773250329673133,0.905493859033598,0,1,0
REV3L,-0.0329919614558473,2.68252651908876e-10,4.9768645576254,1.05471577677532e-05,-0.16419652365615
TENM1,0.02684398528253,4.18417269206633e-20,14.7837989809292,1.64513301906664e-15,0.396856082263945
MASP2,-0.0341708847009125,0.985455555379352,0,1,0
IYD,0.0442929606892597,2.68707852984794e-27,21.9761282227889,1.05650553636561e-22,0.973387783474121
FAM76A,-0.0538539917084762,0.640923553493531,0,1,0
TRAF3IP3,-0.0206991709184004,0.52088169207619,0,1,0
POMT2,-0.0104486736930189,0.251424030298094,0,1,0
VTA1,-0.0352560581703896,0.300811623239413,0,1,0
MLXIPL,0.145679933488895,2.89549218977102e-91,85.9436861838444,1.13844961917417e-86,12.5202704870529
BAZ1B,0.0302704355762031,0.281184187434377,0,1,0
RANBP9,-0.0708048002542614,0.99647629138327,0,1,0
ETV7,0.000160283750972231,0.276079290841793,0,1,0
SPRTN,-0.0409876704298852,0.482366748427461,0,1,0
METTL13,0.00386298372690231,0.0119673000474769,0,1,0
DYRK4,-0.0466435580702215,0.772890932029085,0,1,0
ZNF207,-0.218957122660458,0.382669679119991,0,1,0
UQCRC1,-0.0433026026953823,0.523531278949813,0,1,0
STARD3NL,-0.0566670758380996,0.739032757955541,0,1,0
CD9,-0.193512944317768,0.999999998737962,0,1,0
NCAPD2,0.00102854844791374,0.064256610832325,0,1,0
IFFO1,0.0139961847556581,8.90626413478348e-05,0,1,0
GIPR,-0.0179326169370478,0.982076287306644,0,1,0
PHF7,-0.0547094818864335,0.81137873934198,0,1,0
