cluster	group	n_cells
0	control	1509
0	diabetes	1606
1	control	2028
1	diabetes	797
10	control	414
10	diabetes	445
11	control	390
11	diabetes	458
12	control	364
12	diabetes	302
13	control	333
13	diabetes	332
14	control	279
14	diabetes	301
15	control	228
15	diabetes	270
16	control	130
16	diabetes	147
17	control	44
17	diabetes	231
2	control	1878
2	diabetes	900
3	control	1260
3	diabetes	657
4	control	1174
4	diabetes	675
5	control	900
5	diabetes	827
6	control	818
6	diabetes	714
7	control	805
7	diabetes	602
8	control	844
8	diabetes	456
9	control	556
9	diabetes	612
