,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa05418,0,0.00512731443902439,0.894,0.469,0,3,hsa05418
hsa00270,0,0.00228104055886088,0.789,0.283,0,3,hsa00270
hsa05204,0,0.00163528831786621,0.848,0.296,0,3,hsa05204
hsa00860,0,0.00141424462545392,0.843,0.223,0,3,hsa00860
hsa00140,0,0.00111894421466421,0.879,0.496,0,3,hsa00140
hsa00480,0,0.000934905695255679,0.828,0.376,0,3,hsa00480
hsa04979,0,0.00077403047773005,0.894,0.42,0,3,hsa04979
hsa00040,5.48388637336257e-258,0.00181363955296531,0.851,0.447,1.70548866211576e-255,3,hsa00040
hsa00250,3.29555410879902e-255,0.00231792170448889,0.764,0.295,1.0249173278365e-252,3,hsa00250
hsa00980,6.94238848256666e-208,0.00141584449038241,0.749,0.298,2.15908281807823e-205,3,hsa00980
hsa00220,1.16128123910105e-202,0.0032167514600387,0.682,0.145,3.61158465360425e-200,3,hsa00220
hsa00592,1.26546961128259e-192,0.000365915026673508,0.592,0.185,3.93561049108887e-190,3,hsa00592
hsa04014,6.14027964897051e-183,0.00261042649312473,0.772,0.507,1.90962697082983e-180,3,hsa04014
hsa00640,6.51625536936403e-183,0.00258338379761692,0.812,0.514,2.02655541987221e-180,3,hsa00640
hsa01040,6.15581691231235e-156,0.000532971968789891,0.702,0.367,1.91445905972914e-153,3,hsa01040
hsa04340,3.70667641693149e-148,0.0012733964589303,0.868,0.57,1.15277636566569e-145,3,hsa04340
hsa00260,6.68656283360798e-148,0.00155637599678984,0.723,0.373,2.07952104125208e-145,3,hsa00260
hsa00051,1.16238465377881e-143,0.000446209024812349,0.613,0.154,3.6150162732521e-141,3,hsa00051
hsa04150,2.64635130691418e-142,0.00136628559352727,0.803,0.514,8.23015256450309e-140,3,hsa04150
hsa04913,3.48176984907159e-129,0.000305395569123655,0.769,0.463,1.08283042306126e-126,3,hsa04913
hsa04140,7.18562320576214e-128,0.00294110664661477,0.795,0.59,2.23472881699202e-125,3,hsa04140
hsa04721,9.47081284777456e-113,0.000808247679175226,0.677,0.353,2.94542279565789e-110,3,hsa04721
hsa00030,2.41139896371144e-112,0.000226229137376123,0.79,0.339,7.49945077714257e-110,3,hsa00030
hsa04621,4.98352256929725e-110,0.00112712694628048,0.882,0.691,1.54987551905145e-107,3,hsa04621
hsa04218,1.22258326421174e-96,0.00531450900464874,0.589,0.336,3.8022339516985e-94,3,hsa04218
hsa04512,2.9115294569937e-91,0.000369335784648235,0.693,0.444,9.05485661125042e-89,3,hsa04512
hsa04750,8.53033478181053e-87,0.00229287093624628,0.624,0.325,2.65293411714307e-84,3,hsa04750
hsa04217,1.36284291355479e-84,0.00125167233490077,0.809,0.665,4.23844146115541e-82,3,hsa04217
hsa04136,2.67602022583834e-78,0.000771491073337574,0.756,0.531,8.32242290235725e-76,3,hsa04136
hsa04664,9.83635281802103e-78,0.000818435033217882,0.678,0.456,3.05910572640454e-75,3,hsa04664
hsa00982,8.31101654269402e-76,0.000898855347999438,0.644,0.298,2.58472614477784e-73,3,hsa00982
hsa04066,5.39806602802366e-75,0.000760584718528119,0.679,0.461,1.67879853471536e-72,3,hsa04066
hsa04130,1.04838952487636e-73,0.000395308733474121,0.762,0.519,3.26049142236547e-71,3,hsa04130
hsa04923,3.72022232976837e-71,0.000624237076763141,0.809,0.623,1.15698914455796e-68,3,hsa04923
hsa00062,9.88838693274776e-71,0.000347560658506785,0.643,0.368,3.07528833608455e-68,3,hsa00062
hsa04727,1.31287665506893e-70,0.000294114879568933,0.866,0.649,4.08304639726436e-68,3,hsa04727
hsa04380,5.3348632767771e-67,0.000652740125139851,0.534,0.314,1.65914247907768e-64,3,hsa04380
hsa04933,3.23988281897048e-66,0.000848588992478369,0.703,0.5,1.00760355669982e-63,3,hsa04933
hsa05130,1.98853876712087e-64,0.001213677787385,0.578,0.377,6.1843555657459e-62,3,hsa05130
hsa04213,2.78179413315115e-64,0.000904541526384436,0.641,0.405,8.65137975410009e-62,3,hsa04213
hsa05152,1.78299045210336e-62,0.00106623860743644,0.729,0.558,5.54510030604145e-60,3,hsa05152
hsa04142,1.46043110586783e-59,0.000539448712444012,0.61,0.396,4.54194073924895e-57,3,hsa04142
hsa04725,3.84215876407554e-59,0.000357601793970955,0.721,0.53,1.19491137562749e-56,3,hsa04725
hsa04728,1.02540844665945e-58,0.00102806900364135,0.708,0.527,3.18902026911089e-56,3,hsa04728
hsa00120,6.78820539264956e-58,0.000113338720288769,0.542,0.276,2.11113187711401e-55,3,hsa00120
hsa04914,5.86961045967926e-57,0.00112401523188329,0.799,0.647,1.82544885296025e-54,3,hsa04914
