"","celltype","pvalue","fdr"
1,0,0.000208032753113971,0.00124819651868383
2,1,0.0913246062294322,0.126449454779214
3,10,0.414051523487433,0.414051523487433
4,11,0.00185948410079624,0.00418383922679154
5,12,3.80122219562189e-05,0.000547884861210564
6,13,0.000447056715266161,0.00160940417495818
7,14,0.205014806501965,0.246017767802358
8,15,0.0196684299897928,0.0295026449846892
9,16,0.286188853002995,0.321962459628369
10,17,0.412703726727151,0.414051523487433
11,2,0.0023991739920301,0.0047983479840602
12,3,6.08760956900627e-05,0.000547884861210564
13,4,0.00762790911601862,0.0137302364088335
14,5,0.0106468037240862,0.0174220424575956
15,6,0.000795770565676137,0.00238731169702841
16,7,0.000365880358116794,0.00160940417495818
17,8,0.151347910754822,0.194590170970485
18,9,0.00151123211952385,0.00388602545020419
